lon,lat,mn,mnstd,slen,firstday
0.125,6.125,-2.7676503789711333,6.519146185249451,-0.1666666666666643,-2.0
0.125,6.625,-2.4922474286642604,6.632924484956671,-0.36666666666666003,-3.0
0.125,7.125,-2.274226282288435,6.312317573812136,-0.7666666666666657,-2.0
0.125,7.625,-2.3050151024004215,6.673498669689035,-1.2000000000000028,-1.0
0.125,8.125,-2.176149741583526,6.759403053509795,-1.3666666666666671,-2.0
0.125,8.625,-2.238211443320088,6.660766718052324,-1.7333333333333343,-2.0
0.125,9.125,-2.334895154748148,6.708317381228992,-2.8000000000000043,-2.0
0.125,9.625,-2.2805381000137857,6.639963537866814,-3.06666666666667,-2.0
0.125,10.125,-2.2149117703244503,6.655193548531322,-3.433333333333337,-1.0
0.125,10.625,-2.4876259912183283,6.3047602960986415,-3.200000000000003,-4.0
0.125,11.125,-2.464834751247711,6.352612476220385,-3.566666666666663,-4.0
0.125,11.625,-2.4276973162602946,6.360493693107982,-3.7666666666666657,-3.0
0.125,12.125,-2.2701710833550397,6.34995010686389,-4.300000000000004,-4.0
0.125,12.625,-1.9612416716277465,6.312714096112686,-4.799999999999997,-5.0
0.125,13.125,-1.972816725634571,6.198172225242928,-5.033333333333331,-4.0
0.125,13.625,-1.8706622205174313,6.305725080414,-4.800000000000004,-5.0
0.125,14.125,-1.7773904579633069,6.121872950707536,-4.533333333333331,-5.0
0.125,14.625,-1.8378061930914722,5.910745262434398,-5.699999999999996,-4.0
0.125,15.125,-1.864663560748225,5.947597333344307,-4.866666666666667,-4.0
0.125,15.625,-1.949340405026465,6.1224695366200255,-5.4666666666666615,-4.0
0.125,16.125,-1.9696211553582756,6.062283454369326,-5.533333333333331,-4.0
0.125,16.625,-1.8858037319254066,6.023062984187714,-6.766666666666666,-4.0
0.125,17.125,-1.7248372970696941,6.04090493268117,-6.199999999999996,-3.0
0.125,17.625,-1.7377906276258628,6.123366050948428,-6.366666666666667,-2.0
0.125,18.125,-1.7390115405600923,6.34673698548664,-7.233333333333334,-3.0
0.125,18.625,-1.7382983696673158,6.247695220797096,-6.633333333333333,-4.0
0.125,19.125,-1.9291831590709485,6.438703226259536,-6.0333333333333385,-3.0
0.125,19.625,-1.8087209864697371,6.558431622406983,-7.100000000000001,-4.0
0.125,20.125,-1.9240103700107731,6.504196178006869,-5.633333333333333,-4.0
0.125,20.625,-1.909600014714261,6.729596977049617,-5.966666666666669,-4.0
0.125,21.125,-1.8705841540482133,6.756198735896721,-5.733333333333334,-6.0
0.125,21.625,-1.5867606702235086,6.446256833163487,-5.06666666666667,-5.0
0.125,22.125,-1.465531862099514,6.454974193281033,-5.5333333333333385,-4.0
0.125,22.625,-1.282156839142953,6.435289973028399,-5.600000000000001,-5.0
0.125,23.125,-1.2798341077064883,6.364047032998952,-4.5,-6.0
0.125,23.625,-1.0000472600944903,6.488537459700468,-4.133333333333333,-5.0
0.125,24.125,-0.8166850414911302,6.600076177781146,-1.7666666666666657,-3.0
0.125,24.625,-0.4073678235356901,6.5682383532269935,-1.3000000000000043,-2.0
0.125,25.125,0.7201390465465636,6.489218883248574,-0.56666666666667,-4.0
0.125,25.625,0.993145295390395,6.631396842790595,1.6333333333333329,-1.0
0.125,26.125,1.481358678915715,6.533314723653669,2.133333333333333,0.0
0.125,26.625,2.158308899807956,6.741359223293337,2.0,-1.0
0.125,27.125,2.6342376712798377,6.390511299718907,1.5333333333333314,14.0
0.125,27.625,2.120608765336229,6.375929026194838,1.7666666666666728,7.0
0.125,28.125,1.848683696624466,6.835277613337974,2.06666666666667,1.0
0.125,28.625,2.0003237440843655,6.500164473202825,1.7000000000000028,4.0
0.125,29.125,2.4777357055789615,6.2324143560444485,2.066666666666663,9.0
0.125,29.625,2.222267279528463,6.591181035315057,3.2666666666666657,4.0
0.125,30.125,1.856380559090752,6.351081396338056,2.6999999999999993,7.0
0.125,30.625,1.5330704410394382,6.101370878588316,1.9666666666666615,-11.0
0.125,31.125,0.9642188403484724,6.644705585940001,2.3333333333333357,-3.0
0.125,31.625,0.7734953366955679,6.960354167324902,2.6666666666666643,-23.0
0.125,32.125,0.05808229663474407,7.267090394983046,2.299999999999997,-12.0
0.125,32.625,-0.7183164819515326,6.7953508075330085,2.833333333333332,-17.0
0.125,33.125,-0.9352894297512151,7.809263601611284,3.833333333333332,-6.0
0.125,33.625,-0.720054971021149,7.528156800053214,4.633333333333336,-46.0
0.125,34.125,-2.1523065647577546,7.06515553187131,4.533333333333331,-12.0
0.125,34.625,-1.747424224730807,7.5122084392384005,5.699999999999999,-15.0
