lon,lat,mn,mnstd
0.125,6.125,-2.137715923331342,20.565764940985094
0.125,6.625,-3.672265773142769,24.107482834923708
0.125,7.125,-5.719509353516955,28.729172232896783
0.125,7.625,-6.612570620755932,30.817460886199047
0.125,8.125,-7.2265768057567215,35.66881549444944
0.125,8.625,-8.573216380232871,37.58734599238883
0.125,9.125,-10.53029677830736,40.4440599476433
0.125,9.625,-11.141743641108839,42.81178508038965
0.125,10.125,-11.27115407946571,44.992465947022126
0.125,10.625,-10.126789712165717,45.18342766121869
0.125,11.125,-10.778973240138555,45.25023083346592
0.125,11.625,-12.28209629246448,47.866435308132296
0.125,12.125,-12.12993779113333,50.153028384969815
0.125,12.625,-13.68000073791871,50.998013039644725
0.125,13.125,-13.113769315881477,52.89601896451674
0.125,13.625,-11.574895769622145,52.248834272953296
0.125,14.125,-11.051590270087985,53.48081320979057
0.125,14.625,-10.788228935239673,53.951334641157985
0.125,15.125,-10.774405004661844,54.48118254094848
0.125,15.625,-10.556681458603727,52.76697959409256
0.125,16.125,-10.3112210729199,51.592551830305304
0.125,16.625,-10.04599219527843,50.16552884959779
0.125,17.125,-10.443620874795883,49.11532441389491
0.125,17.625,-10.42166052227411,50.23607398326375
0.125,18.125,-10.27812811973969,48.772849687071385
0.125,18.625,-8.5120289087764,49.61177541019508
0.125,19.125,-9.232325730960099,48.52756836265468
0.125,19.625,-8.29412749967036,46.890141738079464
0.125,20.125,-6.984207308796506,47.12611937018396
0.125,20.625,-6.125331539331569,47.15626962432766
0.125,21.125,-4.6802872418315715,46.904154416936095
0.125,21.625,-4.850233816355484,46.42660880096638
0.125,22.125,-3.890598097950239,43.4701670313253
0.125,22.625,-2.682422565259003,41.92820984013187
0.125,23.125,-2.5682006838361318,41.401154089460434
0.125,23.625,-1.6079328426078234,41.90521833151752
0.125,24.125,0.013469656288840781,39.56547300677842
0.125,24.625,-0.024566822132122468,38.43694176147082
0.125,25.125,1.6915366063978574,39.4728944248831
0.125,25.625,1.402577818378031,37.3257052049337
0.125,26.125,0.9979407190530658,38.0729132467931
0.125,26.625,1.3499713681316585,36.50284045247159
0.125,27.125,0.5325485156589025,36.692100439775885
0.125,27.625,-0.2301539565029067,35.92056695670503
0.125,28.125,0.7447791596401849,34.32256824639005
0.125,28.625,1.292474655187494,34.78029158076917
0.125,29.125,2.7852368339334426,33.725178602476234
0.125,29.625,2.391308875292413,35.24375649900601
0.125,30.125,1.464064433200278,33.78879148278003
0.125,30.625,0.365860973010534,33.08401397869773
0.125,31.125,-0.8729100564858996,33.43262234434214
0.125,31.625,0.33882302745362125,33.35738711766017
0.125,32.125,-0.3008658634220538,30.19727173505162
0.125,32.625,0.42611983926272146,30.193354249971023
0.125,33.125,1.2560727375900846,24.266009368893755
0.125,33.625,2.1013774774907006,22.30165812118753
0.125,34.125,2.7474195935641994,21.00578611279213
0.125,34.625,5.661733989476126,17.188885013984656
0.125,35.125,4.073889071643201,21.934146380105517
0.125,35.625,4.433873662264077,26.505397120898817
2.625,6.625,-1.9094853790604986,18.645896514125987
2.625,7.125,-4.8838408507597535,27.26818369262505
2.625,7.625,-5.6743714082924015,27.201556397798306
2.625,8.125,-8.291480979968867,36.30186384500271
2.625,8.625,-6.446024587877886,35.268344935099705
2.625,9.125,-7.876082489576781,38.69769844601327
2.625,9.625,-8.649246488308911,39.61124457437363
2.625,10.125,-7.849679436030748,42.13460656310107
2.625,10.625,-11.140046340454369,47.26244484148924
2.625,11.125,-11.95247686157942,48.025687933296766
2.625,11.625,-12.079722350276377,49.7854526194762
2.625,12.125,-11.568860769846957,51.114213357526324
2.625,12.625,-11.465785898414332,52.52745732436446
2.625,13.125,-11.254574329828962,51.356944872153996
2.625,13.625,-10.915853128687452,55.408611259691455
2.625,14.125,-10.832024364186395,54.77660956860218
2.625,14.625,-11.533268865496758,54.37718989188931
2.625,15.125,-11.901171090125473,54.91199332087382
2.625,15.625,-11.165614447477445,53.927461183944956
2.625,16.125,-9.621583882007009,52.82588532982766
2.625,16.625,-9.816171583980712,52.332057259406454
2.625,17.125,-10.83536628034085,52.08866439894213
2.625,17.625,-10.942992805353377,51.07340583923315
2.625,18.125,-9.222031833937216,49.39672560706015
2.625,18.625,-9.57514786829725,48.65923592234567
2.625,19.125,-10.022551684390699,50.8093592761808
2.625,19.625,-7.828163743766176,50.600179208470664
2.625,20.125,-6.233003819367319,52.650291013112
2.625,20.625,-6.010924227902358,49.22871665501354
2.625,21.125,-6.298055632079958,49.88198068030296
2.625,21.625,-6.065861523380256,47.28463701907714
2.625,22.125,-5.191960414255426,46.68140922518286
2.625,22.625,-4.075357425932744,45.90834132530907
2.625,23.125,-1.6157765513591968,46.724239051316125
2.625,23.625,-1.7256163090863552,46.6988784696198
2.625,24.125,-0.6369631853295203,44.889239122960745
2.625,24.625,0.8678885333839048,42.37732633745107
2.625,25.125,0.8792380143774636,41.50027869007221
2.625,25.625,1.3288370742538014,38.78504620385924
2.625,26.125,1.7605903467508348,38.94773745128765
2.625,26.625,1.7478626567580342,38.84160746084883
2.625,27.125,1.3539077594807978,38.41377290036013
2.625,27.625,-0.8519183271978967,37.83020900037723
2.625,28.125,-0.08449900093653895,35.75294181658272
2.625,28.625,1.0752819375033162,34.54689183073785
2.625,29.125,-0.6663533594211408,33.810629361399606
2.625,29.625,0.6631998944010888,33.080953925549714
2.625,30.125,-0.18651878259169408,34.25153937635439
2.625,30.625,-1.284240665078741,32.59395969212571
2.625,31.125,-0.7786799402330686,31.6482103901313
2.625,31.625,-0.8716456064081832,33.007276985141445
2.625,32.125,-1.1427894428721856,31.172281137382242
2.625,32.625,0.9268263389425542,30.669046820631536
2.625,33.125,0.0896263594318647,29.18752641291747
2.625,33.625,0.12062777544060665,26.901387655409202
2.625,34.125,1.4568213177546205,21.905512978593826
2.625,34.625,2.2775335890319788,22.230307058444726
2.625,35.125,2.024794193988182,23.079833324337436
2.625,35.625,2.8495547291189744,22.110805297267817
2.625,36.125,3.7655660166251437,20.993983477302205
25.125,-33.875,11.04081382125991,27.577548515881112
25.125,-33.375,8.589692343906528,25.638941381112904
25.125,-32.875,5.7067546651680345,28.201680781494503
25.125,-32.375,6.538878654396303,21.601313638952
25.125,-31.875,5.478861308565676,23.375103815165744
25.125,-31.375,4.489320078154414,25.089614414229835
25.125,-30.875,3.470660645928504,26.429795585360615
25.125,-30.375,-0.26163052291033395,31.56829628905467
25.125,-29.875,0.3659328668227637,28.96428140984447
25.125,-29.375,-1.4063021680326244,31.15206619282159
25.125,-28.875,-2.520535816336473,32.248926326195836
25.125,-28.375,-2.4493476768701115,31.92876836918991
25.125,-27.875,-1.393341695416808,32.8844138752196
